Unique ID,Post,Labels Set,Filtered_Post
1190,"आम आदमी पार्टी की दिल्ली विधानसभा की 27 सीटों में से 21 मुसलमानों को । जरा सोचे । दिल्ली बनेगा रावलपिंडी ।

शेयर करे और देखे केजरीवाल उर्फ केजरुद्दीन जो दिल्ली को किस तरह स्व पाकिस्तान बनाना चाह रहे है सब आपके सामने है उनके विधायको की पहली लिस्ट....जागो हिन्दू जागो",defamation,आम आदमी पार्टी दिल्ली विधानसभा 27 सीटों 21 मुसलमानों सोचे दिल्ली बनेगा रावलपिंडी शेयर करे देखे केजरीवाल उर्फ केजरुद्दीन दिल्ली स्व पाकिस्तान बनाना चाह सब आपके सामने विधायको पहली लिस्ट....जागो हिन्दू जागो
1191,"@erbmjha @taapsee तुम बहन के laudo ने अपने इसी chutiyape से इस कुतिया को जिसको कुछ महीनों पहले कोई जानता भी नहीं था, उसके अपने सुअरों के प्रदेश का स्टार बना दिया l

तुमने खुद एक दुश्मन बढ़ाया l

और अब एक एक्स्ट्रा दुश्मन हैंडल करना पड़ रहा है l

गुमनामी की मौत मारना कब सीखोगे बे Chutiyon.",hate,"@erbmjha @taapsee बहन laudo chutiyape कुतिया जिसको महीनों जानता था, सुअरों प्रदेश स्टार बना l तुमने दुश्मन बढ़ाया l एक्स्ट्रा दुश्मन हैंडल पड़ l गुमनामी मौत मारना सीखोगे बे Chutiyon."
1192,"दिल्ली: लोधी श्मशान घाट में पूर्व राष्ट्रपति प्रणब मुखर्जी का अंतिम संस्कार किया जा रहा है। 

देखिए रिपब्लिक भारत पर #LIVE :  
https://t.co/G945HvzM0Z https://t.co/EVCQ12q4un",non-hostile,दिल्ली: लोधी श्मशान घाट पूर्व राष्ट्रपति प्रणब मुखर्जी अंतिम संस्कार है। देखिए रिपब्लिक भारत #LIVE : https://t.co/G945HvzM0Z https://t.co/EVCQ12q4un
1193,"बीजेपी एकमात्र अकेली ऐसी पार्टी है जो न सिर्फ भारत बल्कि,
पाकिस्तान अफगानिस्तान और बांग्लादेश के हिंदुओं के लिए भी लड़ रही है,",hate,"बीजेपी एकमात्र अकेली ऐसी पार्टी सिर्फ भारत बल्कि, पाकिस्तान अफगानिस्तान बांग्लादेश हिंदुओं लड़ है,"
1194,@Abhayku56890014 @ips_gupteshwar @Dr_Uditraj @yadavakhilesh @narendramodi @RubikaLiyaquat तुम्हारा पूरा परिवार इसी काम में लिप्त है इसी वजह से तुम्हारी शब्द इस तरह की गंदी है गांडू की सरकार है इस वजह से वह ऐसे वीडियो भेज रहा है मुझे परेशान कर रहे हैं,offensive,@Abhayku56890014 @ips_gupteshwar @Dr_Uditraj @yadavakhilesh @narendramodi @RubikaLiyaquat परिवार काम लिप्त वजह तुम्हारी शब्द गंदी गांडू सरकार वजह वीडियो भेज मुझे परेशान
1195,"कल बैतूल, मुरैना व इंदौर में ""ऑक्सीजन जाँच अभियान"" चलकर लोगों का ऑक्सीजन लेवल चेक किया गया।
@ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https://t.co/ozx5kQSgrr",non-hostile,"बैतूल, मुरैना इंदौर ""ऑक्सीजन जाँच अभियान"" चलकर लोगों ऑक्सीजन लेवल चेक गया। @ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https://t.co/ozx5kQSgrr"
1196,"Sovereign Gold Bond: इस साल सस्ते में सोना खरीदने का आखिरी मौका आज से
https://t.co/kAYQRcfYL7 via @NavbharatTimes",non-hostile,Sovereign Gold Bond: साल सस्ते सोना खरीदने आखिरी मौका https://t.co/kAYQRcfYL7 via @NavbharatTimes
1197,ALERT: कोरोना वैक्सीन की 'हड़बड़ी' पर डब्ल्यूएचओ की चेतावनी https://t.co/HzIvsPbZHS,non-hostile,ALERT: कोरोना वैक्सीन 'हड़बड़ी' डब्ल्यूएचओ चेतावनी https://t.co/HzIvsPbZHS
1198,"** चीन भी मुसलमानों के आगे झुका *** ** चीन के राष्ट्रपति ने मुसलमानों से अपने किये गऐ करमो की माफी मांगी ,,ओर मस्जिद मे जाकर दुआ की ,, ** ये वही है ईसलाम को मिटाने का खवाब देख रहे थे,,, **चीन मे अब तक कोरोना वायरस की वजह से वहाँ जिनदगिया मौत मे तबदील हुई ,,ईस बिमारी का कोई ईलाज नहीं हो सका",fake,"** चीन मुसलमानों झुका *** ** चीन राष्ट्रपति मुसलमानों किये गऐ करमो माफी मांगी ,,ओर मस्जिद जाकर दुआ ,, ** वही ईसलाम मिटाने खवाब देख थे,,, **चीन कोरोना वायरस वजह जिनदगिया मौत तबदील ,,ईस बिमारी ईलाज सका"
1199,कौन कहता है हिन्दू खतरे में नहीं है यह रहा सबूत एक मुस्लिम मौलाना एक हिन्दू भगवाधारी को किडनैप करके ले जाता हुआ किसी हिन्दू को जागना है तो जांग जाये फिर मत कहना जगाया नहीं था 😆😅😄😃😀🤣 मेरा काम खत्म हुआ अब मुझे तो और भी बहुत सारे काम करने पडते अब आगे खुद जानो,hate,कहता हिन्दू खतरे सबूत मुस्लिम मौलाना हिन्दू भगवाधारी किडनैप करके ले हिन्दू जागना जांग जाये मत कहना जगाया 😆😅😄😃😀🤣 काम खत्म मुझे काम पडते जानो
1200,"देखिए खुद को देश के क्षत्रियों का नेता कहने वाले योगी आदित्यनाथ सिर्फ दो FIR दर्ज होने पर संसद में कैसे बुल्ल बुल्ल रोने लगे। दूसरी ओर संजय सिंह की दहाड़।

मियां, मैं शेर हूं शेरों की गुर्राहट नहीं जाती
मैं लहजा नर्म भी कर दूं तो झुंझलाहट नहीं जाती।
@SanjayAzadSln
@AamAadmiParty https://t.co/tygMN82tx4",non-hostile,"देखिए देश क्षत्रियों नेता कहने योगी आदित्यनाथ सिर्फ FIR दर्ज संसद बुल्ल बुल्ल रोने लगे। दूसरी संजय सिंह दहाड़। मियां, शेर हूं शेरों गुर्राहट लहजा नर्म दूं झुंझलाहट जाती। @SanjayAzadSln @AamAadmiParty https://t.co/tygMN82tx4"
1201,फ़ातिमा जी मेरा लड़का मुस्लिम लडकी से प्यार करता है और वो लड़की भी उससे प्यार करती वो शादी करना चाहते है है मगर लडकी के घर वाले इस बात पर राजी नही है क्या मै उन दोनो की शादी कर सकता हूं,offensive,फ़ातिमा जी लड़का मुस्लिम लडकी प्यार वो लड़की उससे प्यार करती वो शादी चाहते लडकी बात राजी नही शादी हूं
1202,"😎
चूहे भी साले इंजीनियर होते हैं!सालों को सब पता ही होता है ! कौन-सी तार काटने से मशीन बंद होगी!
😉😉😉😂😂😂",offensive,😎 चूहे साले इंजीनियर हैं!सालों सब पता ! कौन-सी तार काटने मशीन होगी! 😉😉😉😂😂😂
1203,"सनी देओल को जताई उम्‍मीद, सुरेश रैना के परिवार को जल्‍द मिले न्‍याय -
#SureshRaina 
https://t.co/qHbg4xQZn4",non-hostile,"सनी देओल जताई उम्‍मीद, सुरेश रैना परिवार जल्‍द मिले न्‍याय - #SureshRaina https://t.co/qHbg4xQZn4"
1204,रक्षामंत्री राजनाथ सिंह ने चीन की सेना की उकसावे वाली कार्रवाई पर उच्‍चस्‍तरीय चर्चा की https://t.co/R43uCKKxc5,non-hostile,रक्षामंत्री राजनाथ सिंह चीन सेना उकसावे वाली कार्रवाई उच्‍चस्‍तरीय चर्चा https://t.co/R43uCKKxc5
1205,"एनआरसी की शुरुआत असम में हुई है। लोगों को उनके घरों से निकाला जा रहा है। मीडिया यह नहीं दिखाता है, उन्हें बेचा जा रहा है इसलिए यह वीडियो साझा करना अब हमारी जिम्मेदारी है।",fake,"एनआरसी शुरुआत असम है। लोगों घरों निकाला है। मीडिया दिखाता है, बेचा वीडियो साझा हमारी जिम्मेदारी है।"
1206,"ब्रिटेन खुशहाल देश है.

क्यूँकि वहाँ मिस्टर बीन जैसे लोग सिर्फ कॉमेडी करते हैं,ना कि प्रधानमंत्री बनने का सपना देखते हैं...😜",defamation,"ब्रिटेन खुशहाल देश है. क्यूँकि मिस्टर बीन लोग सिर्फ कॉमेडी हैं,ना प्रधानमंत्री बनने सपना देखते हैं...😜"
1207,"#SushantSinghRajput केस में 11 दिन बाद सीबीआई के हाथ क्या लगा? 

https://t.co/vgxldSm1gn",non-hostile,#SushantSinghRajput केस 11 दिन सीबीआई हाथ लगा? https://t.co/vgxldSm1gn
1208,"RT @Rofl_RavishNDTV: वो भाजपा संग गठबंधन करते हैं,, भगवा संग मिलकर बाबरी विध्वंस करते हैं पर चर्चा नहीं होती..!!

हम एक चीठ्ठी लिख देते हैं…",hate,"RT @Rofl_RavishNDTV: वो भाजपा गठबंधन हैं,, भगवा मिलकर बाबरी विध्वंस चर्चा होती..!! चीठ्ठी लिख देते हैं…"
1209,"बॉलीवुड सिर्फ गलत चीज़ो को बढ़वा देने के लिए है। इनके लिए कभी देवी देवताओ पर तो कभी सेना पर मज़ाक करने की परंपरा बन चूका है। 
बहिष्कार करें सब मिल कर। ",offensive,बॉलीवुड सिर्फ गलत चीज़ो बढ़वा देने है। देवी देवताओ सेना मज़ाक परंपरा बन चूका है। बहिष्कार सब मिल कर।
1210,"Exclusive interview में बाेले अजय चौटाला- हरियाणा में भाजपा और हम मिलकर चलाते रहेंगे राज
@DrAjaySChautala @cmohry @mlkhattar #HaryanaPolitics 

https://t.co/264BXmPlze",non-hostile,Exclusive interview बाेले अजय चौटाला- हरियाणा भाजपा मिलकर चलाते रहेंगे राज @DrAjaySChautala @cmohry @mlkhattar #HaryanaPolitics https://t.co/264BXmPlze
1211,"#Horoscope: राशिफल के अनुसार जानिए कैसा रहेगा आपका आज का दिन
https://t.co/yTpeRlnffw",non-hostile,#Horoscope: राशिफल अनुसार जानिए कैसा रहेगा दिन https://t.co/yTpeRlnffw
1212,"सभी भाई उन चोंचले लोगों को सबक सिखाए जो हंस @HansrajMeena भाई को टारगेट करने के लिए फालतू के मौके ढूंढते है, साले चमन चुटिया लोग है..!! @RamlalAluda @PilotPragpura @Rajesh_Meena88 @Ms_Marmat @k2mcheeta @RajendraMeena50 @Dkbaiplawat @RBaiplawat @JavanSinghMeena @SatyaMeenaSWM https://t.co/kyaF6UmdaO",offensive,"भाई चोंचले लोगों सबक सिखाए हंस @HansrajMeena भाई टारगेट फालतू मौके ढूंढते है, साले चमन चुटिया लोग है..!! @RamlalAluda @PilotPragpura @Rajesh_Meena88 @Ms_Marmat @k2mcheeta @RajendraMeena50 @Dkbaiplawat @RBaiplawat @JavanSinghMeena @SatyaMeenaSWM https://t.co/kyaF6UmdaO"
1213,"बेचारी कंगना भाग भी नही सकती

उसकी तो घोड़ी भी काठी की है",offensive,बेचारी कंगना भाग नही घोड़ी काठी
1214,"RT @_Pb_swain_: चलेगा बुल्डोजर तो आएगा वाड्रा का मकान भी जद में..!! 
यहां अवैध सिर्फ कंगना का मकान थोड़ी है.😂😂",defamation,RT @_Pb_swain_: चलेगा बुल्डोजर आएगा वाड्रा मकान जद में..!! अवैध सिर्फ कंगना मकान थोड़ी है.😂😂
1215,@sandeep54855982 कृपया आप अपनी समस्या का संक्षिप्त विवरण दें,non-hostile,@sandeep54855982 कृपया समस्या संक्षिप्त विवरण दें
1216,भारतीय स्वाभिमान के अप्रतिम प्रतीक जम्मू-कश्मीर से अनुच्छेद 370 हटाए जाने के एक वर्ष पूर्ण होने पर भारतीय अखंडता को समर्पित दिवस पर सभी देशवासियों को अशेष शुभकामनाएं। https://t.co/1b7JCGiviy,non-hostile,भारतीय स्वाभिमान अप्रतिम प्रतीक जम्मू-कश्मीर अनुच्छेद 370 हटाए वर्ष पूर्ण भारतीय अखंडता समर्पित दिवस देशवासियों अशेष शुभकामनाएं। https://t.co/1b7JCGiviy
1217,"कर्नाटक संकट: कुमारस्वामी 'ट्रस्ट वोट' के लिए तैयार, BJP विधायकों को 3 होटलों में करेगी शिफ्ट
#HDKumaraswamy #Karnataka 
https://t.co/PglRsOAS3d https://t.co/IN9DvhskG3",non-hostile,"कर्नाटक संकट: कुमारस्वामी 'ट्रस्ट वोट' तैयार, BJP विधायकों 3 होटलों करेगी शिफ्ट #HDKumaraswamy #Karnataka https://t.co/PglRsOAS3d https://t.co/IN9DvhskG3"
1218,कहासुनी: प्रशांत भूषण को अवमानना मामले में सुप्रीम कोर्ट ने सुनाई एक रुपये के जुर्माने की सज़ा. कोर्ट के इस फ़ैसले पर बताएं अपनी राय...  https://t.co/rEVe9W1qnV #PrashantBhushan https://t.co/7b4qPe7p9y,non-hostile,कहासुनी: प्रशांत भूषण अवमानना मामले सुप्रीम कोर्ट सुनाई रुपये जुर्माने सज़ा. कोर्ट फ़ैसले बताएं राय... https://t.co/rEVe9W1qnV #PrashantBhushan https://t.co/7b4qPe7p9y
1219,"योगी जी की पत्नी और बेटी भी है
ओ मेरी गैया जे का देख लियो

",fake,योगी जी पत्नी बेटी ओ मेरी गैया जे देख लियो
1220,@mangeshkarlata चाइना भारत की डूबती अर्थव्यवस्था गरीबी भुखमरी बेरोजगारी कुछ लिखने की हिम्मत तो होनी चाहिए बस चापलूसी देश 100 साल पीछे चली गई क्या यह देश आपकी नहीं अब आवाज क्यों नहीं निकल रही है,hate,@mangeshkarlata चाइना भारत डूबती अर्थव्यवस्था गरीबी भुखमरी बेरोजगारी लिखने हिम्मत होनी बस चापलूसी देश 100 साल पीछे चली देश आपकी आवाज
1221,"पत्रकार नीलांशु शुक्ला के निधन पर प्रियंका गांधी ने जताया दुख, सरकार से पत्रकारों के लिए इंश्योरेंस कवर की मांग की
https://t.co/Ra5BnnyVjA",non-hostile,"पत्रकार नीलांशु शुक्ला निधन प्रियंका गांधी जताया दुख, सरकार पत्रकारों इंश्योरेंस कवर मांग https://t.co/Ra5BnnyVjA"
1222,@SanjayAzadSln राजपूत अजय कुमार बिष्ट ने राजपूत संजय सिंह के मन में डर तो भर  दीया इसमें कोई शक नहीं यदि डर नहीं होती तो प्रेस कॉन्फ्रेंस करके ट्वीट नहीं करते,defamation,@SanjayAzadSln राजपूत अजय कुमार बिष्ट राजपूत संजय सिंह मन डर भर दीया शक डर प्रेस कॉन्फ्रेंस करके ट्वीट
1223,"दिल्ली और मुंबई दोनो जगह मुगल शाशन स्थापित हो चुका है,

वहा केजरु-उल-हक हसन बेशर्म यहा उढु-उल-हक हसन फ़ुटे कर्म.😂😂😂",hate,"दिल्ली मुंबई जगह मुगल शाशन स्थापित चुका है, वहा केजरु-उल-हक हसन बेशर्म यहा उढु-उल-हक हसन फ़ुटे कर्म.😂😂😂"
1224,"कोविड-19 बैक्टीरिया है, जिसका इलाज ऐस्प्रिन से किया जा सकता है।
",fake,"कोविड-19 बैक्टीरिया है, जिसका इलाज ऐस्प्रिन है।"
1225,"भाजप के नालायक नीच पाखंडी भक्त और चातुकारो के लिये
साक्षरता केरल सोमालिया होता है
काश्मीर पाकिस्तान होता है
पश्चिम बंगाल बंगला देश होता है
और
मुंबई इन्हे POK दीखता है
पर उत्तरप्रदेश मात्र इन्हे स्वर्ग नजर आता है
थु तुमहारी जिंदगी पे",hate,भाजप नालायक नीच पाखंडी भक्त चातुकारो साक्षरता केरल सोमालिया काश्मीर पाकिस्तान पश्चिम बंगाल बंगला देश मुंबई इन्हे POK दीखता उत्तरप्रदेश इन्हे स्वर्ग नजर आता थु तुमहारी जिंदगी
1226,"@yogrishiramdev बा रे काणा देव बनाये हम निहायति बेशरम #अंधभक्तन के फिर से चुतिया..
कोरोनिल पर पतंजलि ने यू-टर्न लिया, कहा हमने कोरोना के इलाज की दवा नहीं बनाई बल्कि इम्यूनिटी की दवा बनाई है। #CORONIL #Patanjali 

#राजीव_दीक्षित_का_हत्यारा_काना_रामदेव",offensive,"@yogrishiramdev बा रे काणा देव बनाये निहायति बेशरम #अंधभक्तन चुतिया.. कोरोनिल पतंजलि यू-टर्न लिया, कोरोना इलाज दवा बनाई बल्कि इम्यूनिटी दवा बनाई है। #CORONIL #Patanjali #राजीव_दीक्षित_का_हत्यारा_काना_रामदेव"
1227,"हैप्पी होली अडवांस में साले पाकिस्तानियो..😅😜 अभी तो शुरुआत है..😅  #IAF स्ट्राइक #जयहिन्द
वीडियो गेम का क्लिप पाकिस्तान पर हुआ एयर स्ट्राइक बताया गया


","fake,offensive",हैप्पी होली अडवांस साले पाकिस्तानियो..😅😜 शुरुआत है..😅 #IAF स्ट्राइक #जयहिन्द वीडियो गेम क्लिप पाकिस्तान एयर स्ट्राइक बताया
1228,"दीपेश और मिरांडा के खुलासे के बाद रिया की बढ़ी मुश्किलें, डिलीट हुई व्हाट्सएप चैट पर NCB की नजर 
https://t.co/r0HaFA5Ds7",non-hostile,"दीपेश मिरांडा खुलासे रिया बढ़ी मुश्किलें, डिलीट व्हाट्सएप चैट NCB नजर https://t.co/r0HaFA5Ds7"
1229,देश के विभिन्‍न शहरों में पांच महीने से ज्‍यादा अंतराल के बाद मेट्रो रेल सेवाएं फिर शुरू। https://t.co/N6FFURCj94,non-hostile,देश विभिन्‍न शहरों पांच महीने ज्‍यादा अंतराल मेट्रो रेल सेवाएं शुरू। https://t.co/N6FFURCj94
1230,"@NehaChowdhryIN7 ये सारे कमीने और बेईमान, फिर भी मेरा भारत महान 🙏🙏
#संजय_सिंह_गुंडा_है","defamation,offensive","@NehaChowdhryIN7 कमीने बेईमान, भारत महान 🙏🙏 #संजय_सिंह_गुंडा_है"
1231,"अरुणाचल प्रदेश के कांग्रेस विधायक निनोंग एरिंग ने ट्वीट किया है कि चीन की पीपुल्स लिबरेशन आर्मी ने अरुणाचल के अपर सुबनसिरी जिले से पांच लोगों का कथित तौर पर अपहरण कर लिया है. कुछ महीने पहले भी ऐसी ही घटना हुई थी. @abt1607 

https://t.co/S49PaZaezZ",non-hostile,अरुणाचल प्रदेश कांग्रेस विधायक निनोंग एरिंग ट्वीट चीन पीपुल्स लिबरेशन आर्मी अरुणाचल अपर सुबनसिरी जिले पांच लोगों कथित तौर अपहरण है. महीने ऐसी घटना थी. @abt1607 https://t.co/S49PaZaezZ
1232,"कांग्रेसी मोदी जी के विरोध में,

चीनियों और पाकिस्तानियों को भी अपना बाप कह सकते हैं ।।","defamation,offensive","कांग्रेसी मोदी जी विरोध में, चीनियों पाकिस्तानियों बाप कह ।।"
1233,"JNU के नक्सली गैंग ने #स्वामी_विवेकानंद की मूर्ति के नीचे लिखा है 'भगवा जलेगा'❗

नामुराद जाहिलो तुम्हारी लाल सलाम वाली हज़ारों पीढ़ियां यूं ही आएंगी, चली जायेगी... तब भी भगवा ज़िंदाबाद था,है और सदैव रहेगा।🚩🚩🚩
वामपंथ क्या है जरूर सुने...
Like= RT

#भगवा_भारत
#BharatSinghOscar","fake,offensive","JNU नक्सली गैंग #स्वामी_विवेकानंद मूर्ति लिखा 'भगवा जलेगा'❗ नामुराद जाहिलो तुम्हारी लाल सलाम वाली हज़ारों पीढ़ियां यूं आएंगी, चली जायेगी... भगवा ज़िंदाबाद था,है सदैव रहेगा।🚩🚩🚩 वामपंथ जरूर सुने... Like= RT #भगवा_भारत #BharatSinghOscar"
1234,"जम्मू कश्मीरः पीडीपी नेताओं का घर से बाहर न निकलने देने का आरोप, पार्टी की बैठक रद्द
#PDP #JammuKashmir #Article370 #पीडीपी #जम्मूकश्मीर #आर्टिकल370 

https://t.co/tNOsL93Scg",non-hostile,"जम्मू कश्मीरः पीडीपी नेताओं निकलने देने आरोप, पार्टी बैठक रद्द #PDP #JammuKashmir #Article370 #पीडीपी #जम्मूकश्मीर #आर्टिकल370 https://t.co/tNOsL93Scg"
1235,"इस प्रकार रिकवरी रेट 75 प्रतिशत है: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी

@ShishirGoUP",non-hostile,"प्रकार रिकवरी रेट 75 प्रतिशत है: ACS, चिकित्सा स्वास्थ्य, श्री अमित मोहन प्रसाद जी @ShishirGoUP"
1236,"योगी जी।आप आम जनता को नमूना कह लीजिए, गाली दे लीजिए। लेकिन बताइए-

1. आप केवल ठाकुरों के ही काम करते है कीजिये, लेकिन बाक़ी 94% जनता कहाँ जाए?

2. ब्राह्मणों पर अत्याचार क्यों? बाक़ी जातियों के ख़िलाफ़ भेदभाव क्यों?  1/3 https://t.co/aJQvxLCbMM",non-hostile,"योगी जी।आप आम जनता नमूना कह लीजिए, गाली दे लीजिए। बताइए- 1. केवल ठाकुरों काम कीजिये, बाक़ी 94% जनता जाए? 2. ब्राह्मणों अत्याचार क्यों? बाक़ी जातियों ख़िलाफ़ भेदभाव क्यों? 1/3 https://t.co/aJQvxLCbMM"
1237,"जावेद अख्तर जैसे कटे हुए व्यक्ति ने जितनी भी फिल्मों की कहानी लिखी उनमें कभी कोई मुस्लिम खलनायक नहीं लिखा..  क्यों..?
क्योंकि ये साला साम्प्रदायिकता फैला रहा है वर्षों से.. @SrBachchan @aajtak @SonuSood @ZeeNews @ndtv @BBCHindi",offensive,जावेद अख्तर कटे व्यक्ति जितनी फिल्मों कहानी लिखी उनमें मुस्लिम खलनायक लिखा.. क्यों..? क्योंकि साला साम्प्रदायिकता फैला वर्षों से.. @SrBachchan @aajtak @SonuSood @ZeeNews @ndtv @BBCHindi
1238,"कमलनाथ सरकार ने साल 2018 में कलेक्टर पदनाम को बदलने के लिए पहल की थी. इस पर अब शिवराज सरकार ने रोक लगा दी है. 
#HindiNews 
https://t.co/DQmCBK5a9r",non-hostile,कमलनाथ सरकार साल 2018 कलेक्टर पदनाम बदलने पहल थी. शिवराज सरकार रोक लगा दी है. #HindiNews https://t.co/DQmCBK5a9r
1239,"देश में साल 2019 में चार लाख से ज्यादा सड़क दुघर्टनाएं हुईं। पढ़िए यह रिपोर्ट...
#NCRB #RoadAccidents

https://t.co/kgD8MtRXUf",non-hostile,देश साल 2019 चार लाख सड़क दुघर्टनाएं हुईं। पढ़िए रिपोर्ट... #NCRB #RoadAccidents https://t.co/kgD8MtRXUf
1240,"कितना 'बदल' गया चीन ?

देखिए #DNA LIVE  @sudhirchaudhary के साथ https://t.co/O3EyHblmtz",non-hostile,'बदल' चीन ? देखिए #DNA LIVE @sudhirchaudhary https://t.co/O3EyHblmtz
1241,"महाराष्ट्र के मुख्य मंत्री उद्धव ठाकरे को सोनिया गाँधी की तस्वीर के सामने झुककर नमस्ते करते हुए देखा जा सकता है |

",fake,महाराष्ट्र मुख्य मंत्री उद्धव ठाकरे सोनिया गाँधी तस्वीर सामने झुककर नमस्ते देखा |
1242,"@AAPDelhi @DrKumarVishwas    जिस तरह एक केजरी के चमचे @SanjayAzadSln एक मार्शल को धक्का दिया सभी #मार्शल से निवेदन है गिरा के कुत्ते की तरह मारना था इस भैसे को साले 2 कौड़ी की औकात नही और मार्शल को हाथ लग दिया,",hate,"@AAPDelhi @DrKumarVishwas केजरी चमचे @SanjayAzadSln मार्शल धक्का #मार्शल निवेदन गिरा कुत्ते मारना भैसे साले 2 कौड़ी औकात नही मार्शल हाथ लग दिया,"
1243,"दिल्ली के बंगला साहिब गुरुद्वारे में मिल रहीं सस्ती दवाएं

#Delhi #Gurudwara #BanglaSahib https://t.co/e5uwav0BLg",non-hostile,दिल्ली बंगला साहिब गुरुद्वारे मिल रहीं सस्ती दवाएं #Delhi #Gurudwara #BanglaSahib https://t.co/e5uwav0BLg
1244,"बीसीसीआई को बहुत बड़ा झटका, टीम इंडिया की जर्सी को किसी कंपनी ने नहीं किया स्पॉन्सर
#HindiNews
https://t.co/P7GrnWA0Fh",non-hostile,"बीसीसीआई झटका, टीम इंडिया जर्सी कंपनी स्पॉन्सर #HindiNews https://t.co/P7GrnWA0Fh"
1245,BBC Impact: महिला किसान ज्योति देशमुख के गांव को मंत्री ने लिया गोद https://t.co/WwMGmSH2AW,non-hostile,BBC Impact: महिला किसान ज्योति देशमुख गांव मंत्री गोद https://t.co/WwMGmSH2AW
1246,"एक जगह बोर्ड लगा था 
""मात्र 100 रु मे 😳
प्रधानमंत्री बनने का तरीका सीखे"" 

मैने जब अंदर जाकर देखा तो 😫😳
कमीने लोग, चाय बनाना सिखा रहे थे।

😂🤣😂😛😛",offensive,"जगह बोर्ड लगा ""मात्र 100 रु 😳 प्रधानमंत्री बनने तरीका सीखे"" मैने जाकर देखा 😫😳 कमीने लोग, चाय बनाना सिखा थे। 😂🤣😂😛😛"
1247,"भक्त तो chuतिया लोगों की गिनती करेंगे
उसमे पहला नम्बर आपका",offensive,भक्त chuतिया लोगों गिनती करेंगे उसमे पहला नम्बर
1248,"भारतीय सेना ने ब्लैक टॉप चोटी पर जमाया कब्जा, अब LAC के उस पार चीनी सैनिकों पर रहेगी सीधी निगाह
#IndiaChinaBorder  #IndiaChinaBorderTension 
https://t.co/sHMJnfGORs",non-hostile,"भारतीय सेना ब्लैक टॉप चोटी जमाया कब्जा, LAC पार चीनी सैनिकों रहेगी सीधी निगाह #IndiaChinaBorder #IndiaChinaBorderTension https://t.co/sHMJnfGORs"
1249,"एक चाय एक और समोसा 
नरेंद्र मोदी तेरा क्या भरोसा

यही नारो का शोर है 
चौकीदार ही चोर है 

जिसको लगे बुरा है 
वो साला हरामखोर है",offensive,चाय समोसा नरेंद्र मोदी तेरा भरोसा नारो शोर चौकीदार चोर जिसको लगे बुरा वो साला हरामखोर
1250,"देश-दुनिया की तमाम अहम ख़बरें संस्कृत में- #Vaarta 

- नहीं रहे प्रणब दा 
- राष्ट्रपति और पीएम ने किया प्रणब दा को याद 
- JEE और NEET परीक्षाएं आज से शुरू
- संसद का मॉनसून सत्र 14 सितम्बर से
-कोरोना: देश में मृत्यु दर 1.78 फीसदी 

Watch: https://t.co/Mu7MibCcMy https://t.co/FZQmoV8s38",non-hostile,देश-दुनिया तमाम अहम ख़बरें संस्कृत में- #Vaarta - प्रणब दा - राष्ट्रपति पीएम प्रणब दा याद - JEE NEET परीक्षाएं शुरू - संसद मॉनसून सत्र 14 सितम्बर -कोरोना: देश मृत्यु दर 1.78 फीसदी Watch: https://t.co/Mu7MibCcMy https://t.co/FZQmoV8s38
1251,"उत्तर प्रदेश, बिहार, झारखंड, मध्य प्रदेश, उड़ीसा, प बंगाल, हरियाणा, दिल्ली, राजस्थान, महाराष्ट्र, समेत अन्य सभी राज्यों में बेरोजगार युवाओं के लिए कोई काम नहीं हुआ.भर्तियों का बुरा हाल है.
युवाओं का साथ लेकर सत्ता में आई @BJP4India अब जवाब देने का समय है. ",hate,"उत्तर प्रदेश, बिहार, झारखंड, मध्य प्रदेश, उड़ीसा, प बंगाल, हरियाणा, दिल्ली, राजस्थान, महाराष्ट्र, समेत राज्यों बेरोजगार युवाओं काम हुआ.भर्तियों बुरा हाल है. युवाओं सत्ता आई @BJP4India जवाब देने है."
1252,"मायावती और अखिलेश यादव विधानसभा उपचुनाव से पहले सीबीआई जांच के घेरे में
https://t.co/7i5wCRTBii",non-hostile,मायावती अखिलेश यादव विधानसभा उपचुनाव सीबीआई जांच घेरे https://t.co/7i5wCRTBii
1253,"आज का सवाल ❓

क्या भारत कांग्रेस मुक्त हो जाना चाहिए 🤔??",hate,सवाल ❓ भारत कांग्रेस मुक्त जाना 🤔??
1254,मुझे तो ब्लाक करके भाग गये बहुत सारे शिखंडी सूवरो की औलाद यह भडवा शेख भौक रहा था मै नहीं भागूगा और अगर भागूगा तो खुद को रंडी की औलाद समझूगा और भाग गया 😃😅😀😂😄😆🤣 अब कोई क्या समझे इसको यह समझना बाकी है,"hate,offensive",मुझे ब्लाक करके भाग शिखंडी सूवरो औलाद भडवा शेख भौक भागूगा भागूगा रंडी औलाद समझूगा भाग 😃😅😀😂😄😆🤣 समझे इसको समझना बाकी
1255,"यह आंध्रप्रदेश के हिंदू मंदिर का वीडियो है, जिसे मुस्लिमों के लिए क्वारेंटाइन सेंटर बनाया गया है",fake,"आंध्रप्रदेश हिंदू मंदिर वीडियो है, मुस्लिमों क्वारेंटाइन सेंटर बनाया"
